n (n kHz),"Sågtandsvåg (dBVrms, teoretiska)","Triangelvåg (dBVrms, teoretiska)",Sågtandsvåg i RC-filter (Dämpning absolutbelopp) ,"Sågtandsvåg i RC-filter (dämpning i dB jämfört med magnitud, teoretiska)"
1,"1,017","3,122","0,89","−1,01"
2,"−4,949",0,"0,7","−3,1"
3,"−8,525",−16,"0,54","−5,35"
4,"−10,969",0,"0,44","−7,13"
5,"−12,907","−24,841","0,36","−8,83"
6,"−13,383",0,"0,31","−10,17"
7,"−15,776","−30,755","0,27","−11,37"
8,−17,0,"0,24","−12,4"
9,−18,"−35,051","0,21","−13,55"
10,"−18,928",0,"0,19","−14,42"
