Address:;USB0::0x2A8D::0x0396::CN61217226::0::INSTR;;Function Channels;;
Model:;DSOX1204G;;Time (s);M1;
Serial Number:;CN61217226;;0;-1,78813934326172E-07;
Firmware Version:;02.11.2020062221;;9,53674316;-1,78813934326172E-07;
Start Time:;2025-09-09 14:12:34.127;;19,07348632;-1,78813934326172E-07;
;;;28,61022948;-1,78813934326172E-07;
;;;38,14697264;-1,78813934326172E-07;
;;;47,6837158;0,000976383802480996;
;;;57,22045896;-1,78813934326172E-07;
;;;66,75720212;-1,78813934326172E-07;
;;;76,29394528;-1,78813934326172E-07;
;;;85,83068844;-1,78813934326172E-07;
;;;95,3674316;-1,78813934326172E-07;
;;;104,90417476;-1,78813934326172E-07;
;;;114,44091792;-1,78813934326172E-07;
;;;123,97766108;-1,78813934326172E-07;
;;;133,51440424;-1,78813934326172E-07;
;;;143,0511474;-1,78813934326172E-07;
;;;152,58789056;-1,78813934326172E-07;
;;;162,12463372;-1,78813934326172E-07;
;;;171,66137688;-1,78813934326172E-07;
;;;181,19812004;-1,78813934326172E-07;
;;;190,7348632;-1,78813934326172E-07;
;;;200,27160636;-1,78813934326172E-07;
;;;209,80834952;-1,78813934326172E-07;
;;;219,34509268;-1,78813934326172E-07;
;;;228,88183584;-1,78813934326172E-07;
;;;238,418579;-1,78813934326172E-07;
;;;247,95532216;-1,78813934326172E-07;
;;;257,49206532;-1,78813934326172E-07;
;;;267,02880848;-1,78813934326172E-07;
;;;276,56555164;-1,78813934326172E-07;
;;;286,1022948;-1,78813934326172E-07;
;;;295,63903796;-1,78813934326172E-07;
;;;305,17578112;-1,78813934326172E-07;
;;;314,71252428;-1,78813934326172E-07;
;;;324,24926744;-1,78813934326172E-07;
;;;333,7860106;-1,78813934326172E-07;
;;;343,32275376;-1,78813934326172E-07;
;;;352,85949692;-1,78813934326172E-07;
;;;362,39624008;-1,78813934326172E-07;
;;;371,93298324;-1,78813934326172E-07;
;;;381,4697264;-1,78813934326172E-07;
;;;391,00646956;-1,78813934326172E-07;
;;;400,54321272;-1,78813934326172E-07;
;;;410,07995588;-1,78813934326172E-07;
;;;419,61669904;-1,78813934326172E-07;
;;;429,1534422;-1,78813934326172E-07;
;;;438,69018536;-1,78813934326172E-07;
;;;448,22692852;-1,78813934326172E-07;
;;;457,76367168;-1,78813934326172E-07;
;;;467,30041484;-1,78813934326172E-07;
;;;476,837158;-1,78813934326172E-07;
;;;486,37390116;-1,78813934326172E-07;
;;;495,91064432;-1,78813934326172E-07;
;;;505,44738748;-1,78813934326172E-07;
;;;514,98413064;-1,78813934326172E-07;
;;;524,5208738;-1,78813934326172E-07;
;;;534,05761696;-1,78813934326172E-07;
;;;543,59436012;-1,78813934326172E-07;
;;;553,13110328;-1,78813934326172E-07;
;;;562,66784644;-1,78813934326172E-07;
;;;572,2045896;-1,78813934326172E-07;
;;;581,74133276;-1,78813934326172E-07;
;;;591,27807592;-1,78813934326172E-07;
;;;600,81481908;-1,78813934326172E-07;
;;;610,35156224;-1,78813934326172E-07;
;;;619,8883054;-1,78813934326172E-07;
;;;629,42504856;-1,78813934326172E-07;
;;;638,96179172;-1,78813934326172E-07;
;;;648,49853488;-1,78813934326172E-07;
;;;658,03527804;-1,78813934326172E-07;
;;;667,5720212;-1,78813934326172E-07;
;;;677,10876436;-1,78813934326172E-07;
;;;686,64550752;-1,78813934326172E-07;
;;;696,18225068;-1,78813934326172E-07;
;;;705,71899384;-1,78813934326172E-07;
;;;715,255737;-1,78813934326172E-07;
;;;724,79248016;-1,78813934326172E-07;
;;;734,32922332;-1,78813934326172E-07;
;;;743,86596648;-1,78813934326172E-07;
;;;753,40270964;-1,78813934326172E-07;
;;;762,9394528;-1,78813934326172E-07;
;;;772,47619596;-1,78813934326172E-07;
;;;782,01293912;-1,78813934326172E-07;
;;;791,54968228;-1,78813934326172E-07;
;;;801,08642544;-1,78813934326172E-07;
;;;810,6231686;-1,78813934326172E-07;
;;;820,15991176;-1,78813934326172E-07;
;;;829,69665492;-1,78813934326172E-07;
;;;839,23339808;-1,78813934326172E-07;
;;;848,77014124;-1,78813934326172E-07;
;;;858,3068844;-1,78813934326172E-07;
;;;867,84362756;-1,78813934326172E-07;
;;;877,38037072;-1,78813934326172E-07;
;;;886,91711388;-1,78813934326172E-07;
;;;896,45385704;-1,78813934326172E-07;
;;;905,9906002;-1,78813934326172E-07;
;;;915,52734336;-1,78813934326172E-07;
;;;925,06408652;-1,78813934326172E-07;
;;;934,60082968;-1,78813934326172E-07;
;;;944,13757284;-1,78813934326172E-07;
;;;953,674316;-1,78813934326172E-07;
;;;963,21105916;-1,78813934326172E-07;
;;;972,74780232;0,00195294641889632;
;;;982,28454548;0,00781232211738825;
;;;991,82128864;0,10546858375892;
;;;1001,3580318;0,960937435738742;
;;;1010,89477496;0,0205076361307874;
;;;1020,43151812;0,000976383802480996;
;;;1029,96826128;-1,78813934326172E-07;
;;;1039,50500444;-1,78813934326172E-07;
;;;1049,0417476;-1,78813934326172E-07;
;;;1058,57849076;-1,78813934326172E-07;
;;;1068,11523392;-1,78813934326172E-07;
;;;1077,65197708;-1,78813934326172E-07;
;;;1087,18872024;-1,78813934326172E-07;
;;;1096,7254634;-1,78813934326172E-07;
;;;1106,26220656;-1,78813934326172E-07;
;;;1115,79894972;-1,78813934326172E-07;
;;;1125,33569288;-1,78813934326172E-07;
;;;1134,87243604;-1,78813934326172E-07;
;;;1144,4091792;-1,78813934326172E-07;
;;;1153,94592236;-1,78813934326172E-07;
;;;1163,48266552;-1,78813934326172E-07;
;;;1173,01940868;-1,78813934326172E-07;
;;;1182,55615184;-1,78813934326172E-07;
;;;1192,092895;-1,78813934326172E-07;
;;;1201,62963816;-1,78813934326172E-07;
;;;1211,16638132;-1,78813934326172E-07;
;;;1220,70312448;-1,78813934326172E-07;
;;;1230,23986764;-1,78813934326172E-07;
;;;1239,7766108;-1,78813934326172E-07;
;;;1249,31335396;-1,78813934326172E-07;
;;;1258,85009712;-1,78813934326172E-07;
;;;1268,38684028;-1,78813934326172E-07;
;;;1277,92358344;-1,78813934326172E-07;
;;;1287,4603266;-1,78813934326172E-07;
;;;1296,99706976;-1,78813934326172E-07;
;;;1306,53381292;-1,78813934326172E-07;
;;;1316,07055608;-1,78813934326172E-07;
;;;1325,60729924;-1,78813934326172E-07;
;;;1335,1440424;-1,78813934326172E-07;
;;;1344,68078556;-1,78813934326172E-07;
;;;1354,21752872;-1,78813934326172E-07;
;;;1363,75427188;-1,78813934326172E-07;
;;;1373,29101504;-1,78813934326172E-07;
;;;1382,8277582;-1,78813934326172E-07;
;;;1392,36450136;-1,78813934326172E-07;
;;;1401,90124452;-1,78813934326172E-07;
;;;1411,43798768;-1,78813934326172E-07;
;;;1420,97473084;-1,78813934326172E-07;
;;;1430,511474;-1,78813934326172E-07;
;;;1440,04821716;-1,78813934326172E-07;
;;;1449,58496032;-1,78813934326172E-07;
;;;1459,12170348;-1,78813934326172E-07;
;;;1468,65844664;-1,78813934326172E-07;
;;;1478,1951898;-1,78813934326172E-07;
;;;1487,73193296;-1,78813934326172E-07;
;;;1497,26867612;-1,78813934326172E-07;
;;;1506,80541928;-1,78813934326172E-07;
;;;1516,34216244;-1,78813934326172E-07;
;;;1525,8789056;-1,78813934326172E-07;
;;;1535,41564876;-1,78813934326172E-07;
;;;1544,95239192;-1,78813934326172E-07;
;;;1554,48913508;-1,78813934326172E-07;
;;;1564,02587824;-1,78813934326172E-07;
;;;1573,5626214;-1,78813934326172E-07;
;;;1583,09936456;-1,78813934326172E-07;
;;;1592,63610772;-1,78813934326172E-07;
;;;1602,17285088;-1,78813934326172E-07;
;;;1611,70959404;-1,78813934326172E-07;
;;;1621,2463372;-1,78813934326172E-07;
;;;1630,78308036;-1,78813934326172E-07;
;;;1640,31982352;-1,78813934326172E-07;
;;;1649,85656668;-1,78813934326172E-07;
;;;1659,39330984;-1,78813934326172E-07;
;;;1668,930053;-1,78813934326172E-07;
;;;1678,46679616;-1,78813934326172E-07;
;;;1688,00353932;-1,78813934326172E-07;
;;;1697,54028248;-1,78813934326172E-07;
;;;1707,07702564;-1,78813934326172E-07;
;;;1716,6137688;-1,78813934326172E-07;
;;;1726,15051196;-1,78813934326172E-07;
;;;1735,68725512;-1,78813934326172E-07;
;;;1745,22399828;-1,78813934326172E-07;
;;;1754,76074144;-1,78813934326172E-07;
;;;1764,2974846;-1,78813934326172E-07;
;;;1773,83422776;-1,78813934326172E-07;
;;;1783,37097092;-1,78813934326172E-07;
;;;1792,90771408;-1,78813934326172E-07;
;;;1802,44445724;-1,78813934326172E-07;
;;;1811,9812004;-1,78813934326172E-07;
;;;1821,51794356;-1,78813934326172E-07;
;;;1831,05468672;-1,78813934326172E-07;
;;;1840,59142988;-1,78813934326172E-07;
;;;1850,12817304;-1,78813934326172E-07;
;;;1859,6649162;-1,78813934326172E-07;
;;;1869,20165936;-1,78813934326172E-07;
;;;1878,73840252;-1,78813934326172E-07;
;;;1888,27514568;-1,78813934326172E-07;
;;;1897,81188884;-1,78813934326172E-07;
;;;1907,348632;-1,78813934326172E-07;
;;;1916,88537516;-1,78813934326172E-07;
;;;1926,42211832;-1,78813934326172E-07;
;;;1935,95886148;-1,78813934326172E-07;
;;;1945,49560464;-1,78813934326172E-07;
;;;1955,0323478;-1,78813934326172E-07;
;;;1964,56909096;-1,78813934326172E-07;
;;;1974,10583412;-1,78813934326172E-07;
;;;1983,64257728;0,00292950903531164;
;;;1993,17932044;0,0976560828275979;
;;;2002,7160636;0,329101422918029;
;;;2012,25280676;0,00976544735021889;
;;;2021,78954992;0,000976383802480996;
;;;2031,32629308;-1,78813934326172E-07;
;;;2040,86303624;-1,78813934326172E-07;
;;;2050,3997794;-1,78813934326172E-07;
;;;2059,93652256;-1,78813934326172E-07;
;;;2069,47326572;-1,78813934326172E-07;
;;;2079,01000888;-1,78813934326172E-07;
;;;2088,54675204;-1,78813934326172E-07;
;;;2098,0834952;-1,78813934326172E-07;
